pmid,relations
39953122,MESH:D003324!FCER1G!0.9991!Association;MESH:D003324!SYK!0.9993!Association;MESH:D003324!MIR1207!0.9994!Association;MESH:D003324!IL1B!0.9967!Association;MESH:D003324!TLR2!0.999!Association;MESH:D003324!HCK!0.9995!Association;MESH:D003324!FCGR2A!0.999!Association;MESH:D003324!RUNX1!0.9979!Association
40016272,MESH:D009765!UBIAD1!0.9996!Association;MESH:D018205!UBIAD1!0.9986!Association
40022442,MESH:D001943!CXCR4!0.9988!Association;MESH:D001943!VLDLR!0.9993!Association;MESH:D001943!SORL1!0.9993!Association;MESH:D001943!LRP8!0.9991!Association;MESH:D001943!LRP6!0.9992!Negative_Correlation;MESH:D001943!LDLR!0.9996!Association;MESH:D009369!CXCR4!0.9966!Association;MESH:D001943!LRP1!0.997!Association;MESH:D001943!APOE!0.999!Association;MESH:D001943!LRP2!0.9992!Association
40029500,MESH:D000077192!TICAM1!0.7172!Association;MESH:D000077192!DEFB1!0.953!Association;MESH:D000077192!ZNF697!0.9565!Association;MESH:D009369!TGFB1!0.9992!Association;MESH:D000077192!BIRC3!0.8622!Association;MESH:D000077192!S100P!0.5979!Association;MESH:D000077192!TGFB1!0.9921!Association
40034591,MESH:D002289!MIR200B!0.9965!Association;MESH:D002289!MMP9!0.9994!Association
40054700,MESH:D009062!Nek7!0.9976!Association
40080479,MESH:D002311!RNF207!0.999!Association;MESH:D002311!478819!0.9996!Association;MESH:D002311!PDK4!0.9996!Association
40101946,MESH:D012162!MFSD8!0.5176!Association;MESH:D012162!ABCA4!0.9985!Association
40111912,MESH:D020961!AIF1!0.9932!Positive_Correlation;MESH:D020961!GLRX2!0.9919!Negative_Correlation;MESH:D020961!SLC25A18!0.8435!Negative_Correlation;MESH:D020961!C1QBP!0.9903!Negative_Correlation
40112602,MESH:D010003!DFNA34!0.9997!Association;MESH:D010003!IRF1!0.9986!Association;MESH:D009336!IRF1!0.9909!Association
40130081,MESH:D006528!PCK2!0.9841!Association;MESH:D006528!YY1AP1!0.9997!Association;MESH:D006528!PHGDH!0.9997!Association;MESH:D006528!ACSL3!0.9995!Association;MESH:D006528!CHMP5!0.9997!Association;MESH:D006528!MYB!0.9997!Association;MESH:D006528!ASNS!0.9993!Association;MESH:D006528!SLC38A1!0.9996!Association
40149530,MESH:D000086382!UGT1A1!0.9996!Association;MESH:D000086382!TLR4!0.9996!Association;MESH:D000086382!ANK3!0.9996!Association;MESH:D000086382!ACE2!0.9996!Association;MESH:D000086382!ABCG1!0.9996!Association;MESH:D000086382!CYP2C19!0.9996!Association;MESH:D000086382!TLR10!0.9997!Association;MESH:D000086382!RBFOX1!0.9996!Association;MESH:D000086382!TLR5!0.9996!Association;MESH:D000086382!MIR924HG!0.9995!Association;MESH:D000086382!ABCB11!0.9996!Association;MESH:D000086382!ZMAT3!0.9996!Association;MESH:D000086382!IFNG-AS1!0.9996!Association;MESH:D000086382!TLR6!0.9996!Association;MESH:D000086382!TLR1!0.9997!Association;MESH:D000086382!IL1A!0.9995!Association
40163148,MESH:D001249!Nlrp3!0.9885!Association
40166910,MESH:D009369!CSE!0.9943!Association
