pmid,relations
40350250,MESH:D012640!NUP107!0.9996!Association;MESH:D020785!NUP107!0.9996!Association;MESH:D005923!NUP107!0.9994!Association;MESH:D006319!NUP107!0.9996!Association;MESH:D008831!NUP107!0.9996!Association;MESH:D011507!NUP107!0.9996!Association;MESH:D009404!NUP107!0.9996!Association;MESH:D002658!NUP107!0.9995!Association;MESH:C536503!NUP107!0.9917!Association;MESH:D061085!NUP107!0.9995!Association;MESH:D007674!NUP107!0.9991!Association
34947986,MESH:D012559!DPP4!0.9997!Association;MESH:D012559!SCN9A!0.9997!Association;MESH:D012640!SCN9A!0.9997!Association;MESH:D000067877!SCN9A!0.9996!Association;MESH:D012559!ABCA13!0.9996!Association;MESH:D001714!SCN9A!0.9997!Association;MESH:D009437!SCN9A!0.9996!Association;MESH:D001714!DPP4!0.9996!Association;MESH:D001714!ABCA13!0.9996!Association;MESH:D000699!SCN9A!0.9995!Association;MESH:D012559!SYT14!0.9997!Association;MESH:D001714!SYT14!0.9997!Association;MESH:D001714!DPP4!0.9132!Association;MESH:D012559!DPP4!0.9865!Association;MESH:D000067877!SCN9A!0.9266!Association;MESH:D000067877!DPP4!0.8929!Association;MESH:D012640!SCN9A!0.7529!Association;MESH:D001714!SYT14!0.9935!Association;MESH:D012559!SYT14!0.9926!Association;MESH:D012640!DPP4!0.528!Association;MESH:D000699!SCN9A!0.9937!Association;MESH:D001714!SCN9A!0.9879!Association;MESH:D012559!ABCA13!0.9938!Association;MESH:D001714!ABCA13!0.9888!Association;MESH:D009437!SCN9A!0.9908!Association;MESH:D012559!SCN9A!0.9778!Association;MESH:D009437!DPP4!0.9931!Association;MESH:D000699!DPP4!0.9908!Association
35077391,MESH:D010190!ARSG!0.9989!Association;MESH:D010190!FAM111B!0.9997!Association;MESH:D010190!TLE2!0.9929!Association;MESH:D010190!MROH9!0.9997!Association;MESH:D010190!USP20!0.9952!Association;MESH:D010190!MIR106B!0.9898!Association;MESH:D010190!MYEOV!0.9997!Association;MESH:D010190!PPP2R3A!0.9997!Association;MESH:D010190!CASKIN2!0.9749!Association;MESH:D010190!SPRN!0.9961!Association;MESH:D010190!MIR98!0.9976!Association;MESH:D010190!SLTM!0.9997!Association;MESH:D010190!FAM111B!0.9997!Association
39644447,MESH:D007247!PADI6!0.9997!Association;MESH:D020964!PADI6!0.9997!Association
26398136,MESH:D000067877!OR2T5!0.9784!Association;MESH:D000067877!GLIPR1!0.998!Association;MESH:D000067877!NAALADL2!0.9794!Association;MESH:D000067877!OR2M3!0.9655!Association;MESH:D000067877!KRR1!0.9734!Association;MESH:D000067877!GLIS1!0.9807!Association;MESH:D000067877!MNT!0.9375!Association;MESH:D000067877!OR2M4!0.8046!Association;MESH:D000067877!STYK1!0.9898!Association;MESH:D000067877!GLIS1!0.9965!Association;MESH:D000067877!NAALADL2!0.9937!Association
33288658,MESH:D009202!PHTF1!0.9963!Association;MESH:D009202!MAGI3!0.9986!Association
37109656,MESH:C567886!ANXA7!0.999!Association;MESH:D014983!AFF3!0.9951!Association;MESH:D014983!OR2T35!0.9995!Association;MESH:C567886!OR2T35!0.7005!Association;MESH:C567886!TARP!0.9869!Association;MESH:D014983!ANXA7!0.9994!Association;MESH:C567886!AFF3!0.9964!Association;MESH:D014983!TARP!0.9992!Association;MESH:C567886!XPC!0.9868!Association;MESH:C567886!LSM3!0.9615!Association
37524447,MESH:D009216!SDK1!0.9758!Association;MESH:D009216!FAM163A!0.9359!Association
39966626,MESH:D019964!SYT14!0.9996!Association;MESH:D003866!SYT14!0.932!Association;MESH:D001714!SYT14!0.9872!Association;MESH:D003865!SYT14!0.9547!Association;MESH:D006948!SYT14!0.992!Association
40313484,MESH:D058631!CTSK!0.9997!Association;MESH:D009140!CTSK!0.4738!Association
24295199,MESH:D007249!OR2B11!0.6785!Association;MESH:D001171!DFNA34!0.9996!Association;MESH:D001171!IL1B!0.9967!Association;MESH:D001171!OR2B11!0.9969!Association;MESH:D001171!CARD8!0.825!Association;MESH:D007249!OR2B11!0.9735!Association;MESH:D001171!OR2B11!0.999!Association
40304567,MESH:D007249!PNPLA3!0.9957!Association;MESH:D008103!CXCR4!0.9996!Association;MESH:D008107!EFNA1!0.7588!Association;MESH:D017093!PNPLA3!0.9995!Association;MESH:D008103!ACKR3!0.9997!Association;MESH:D008103!FGF23!0.9997!Association;MESH:D008107!ACKR3!0.9961!Association;MESH:D008107!FGF23!0.8168!Association;MESH:D005355!PNPLA3!0.9991!Association;MESH:D008103!CXCL12!0.9996!Association;MESH:D008103!EFNA1!0.9997!Association;MESH:D005234!PNPLA3!0.9996!Association;MESH:D017093!INS!0.6359!Association;MESH:D008107!FGFR2!0.6366!Association;MESH:D008107!CXCR4!0.9822!Association;MESH:D008107!PNPLA3!0.9991!Association;MESH:D056486!PNPLA3!0.9884!Association;MESH:D008107!CXCL12!0.9685!Association;MESH:D008103!FGFR2!0.9996!Association;MESH:D004620!PNPLA3!0.9991!Association;MESH:D004620!PNPLA3!0.9992!Association;MESH:D005234!PNPLA3!0.8004!Association;MESH:D005355!PNPLA3!0.9993!Association;MESH:D017093!PNPLA3!0.9986!Association;MESH:D007249!PNPLA3!0.9979!Association;MESH:D008107!PNPLA3!0.9949!Association
38510274,MESH:D004194!KCNT2!0.997!Association;MESH:D006983!KCNT2!0.9996!Association;MESH:D004827!KCNT2!0.9997!Association;OMIM:613582!KCNT2!0.9997!Association;MESH:C562695!KCNT2!0.9997!Association;MESH:D002658!KCNT2!0.9996!Association;MESH:D008607!KCNT2!0.9997!Association
39227420,MESH:D010264!IBA57!0.9817!Association;MESH:D020336!IBA57!0.9992!Association;MESH:D014786!IBA57!0.7023!Association;MESH:D028361!IBA57!0.9995!Association;MESH:C565304!IBA57!0.9973!Association;MESH:D010523!IBA57!0.999!Association;MESH:D056784!IBA57!0.8748!Association
26629533,MESH:D009437!ZSCAN20!0.9996!Association;MESH:D009437!HMGB1P46!0.9995!Association;MESH:D009437!TLR12P!0.9996!Association;MESH:D009437!ZSCAN20!0.9656!Association
29397434,MESH:D011565!LCE3D!0.9994!Association;MESH:D011565!LCE1C!0.9988!Association;MESH:D011565!LCE3A!0.998!Association;MESH:D011565!LCE1B!0.9992!Association
