gene,disease,score,association,pmid
INTS7,MESH:D008844,1.0,Association,36581475
NFIA-AS2,MESH:D009765,0.997,Association,36806387
MIR34A,MESH:D006528,0.999,Association,37685904
SPRR2A,MESH:D001749,0.997,Association,"37780567,38172792"
MYBPH,MESH:D001749,0.999,Association,"37780567,38172792"
FAM89A,MESH:D018805,0.992,Positive_Correlation,38050254
G0S2,MESH:D018805,0.515,Positive_Correlation,38050254
TIPRL,MESH:D002289,1.0,Association,38383737
TARS2,MESH:D063646,1.0,Association,38477373
TARS2,MESH:D007249,1.0,Association,38477373
FAM72A,MESH:D009369,1.0,Association,39215025
SRSF11,MESH:D000077195,0.998,Association,39227899
SRSF10,MESH:D009062,0.999,Association,39227899
SRSF11,MESH:D009062,0.851,Positive_Correlation,39227899
SRSF10,MESH:D000077195,0.999,Association,39227899
SRSF4,MESH:D000077195,0.773,Positive_Correlation,39227899
emc1,MESH:D012164,1.0,Association,39360639
emc1,MESH:D012162,0.998,Association,39360639
emc1,MESH:D014786,0.998,Association,39360639
MAD2L2,MESH:D005199,0.829,Association,39421870
FAAP20,MESH:D005199,0.871,Association,39421870
UBE2T,MESH:D061325,0.999,Association,39421870
UBE2T,MESH:D005199,0.999,Association,39421870
UBE2T,MESH:D017093,0.999,Association,39421870
UBE2T,MESH:D009369,1.0,Association,39421870
HEATR1,MESH:D009135,0.999,Association,39438952
HEATR1,MESH:D018805,0.991,Association,39438952
GNL2,MESH:D009135,0.998,Association,39438952
GNL2,MESH:D018805,0.984,Association,39438952
EBNA1BP2,MESH:D018805,0.994,Association,39438952
EBNA1BP2,MESH:D009135,0.997,Association,39438952
CTSS,MESH:D001145,0.998,Association,39486179
SH3BGRL3,MESH:D001145,1.0,Association,39486179
FAM151A,MESH:D001145,0.971,Association,39486179
SYT11,MESH:D001145,0.999,Association,39486179
SFT2D2,MESH:D011471,0.999,Association,39540264
TBX19,MESH:D028361,1.0,Association,39540264
TBX19,MESH:D011471,0.869,Association,39540264
SFT2D2,MESH:D028361,0.999,Association,39540264
PTPRU,MESH:D001943,0.916,Association,39684488
IKBKE,MESH:D001943,0.921,Association,39684488
BEST4,MESH:D009369,0.981,Negative_Correlation,39699952
BEST4,MESH:D009362,0.994,Positive_Correlation,39699952
HES4,MESH:D015179,0.991,Association,39699952
BEST4,MESH:D015179,0.954,Association,39699952
Camk2n1,MESH:D006973,0.998,Association,39798916
CNST,MESH:D000437,0.99,Association,39892688
Plppr4,MESH:D003920,0.972,Association,39915794
Plppr4,MESH:C000721848,0.997,Negative_Correlation,39915794
PLPPR4,MESH:D003920,0.978,Association,39915794
Plppr4,MESH:D003072,0.994,Association,39915794
Plppr4,MESH:D060825,0.996,Association,39915794
PLPPR4,MESH:D060825,0.999,Association,39915794
ACTA1,MESH:D005355,0.999,Association,39951297
S100A4,MESH:D005355,0.999,Association,39951297
PTPRU,MESH:D000092202,0.852,Association,40002435
PTPRU,MESH:D019966,0.998,Association,40002435
PTPRU,OMIM:603663,0.907,Association,40002435
PTPRU,MESH:D001007,0.999,Association,40002435
PTPRU,MESH:D003866,0.999,Association,40002435
NEK7,MESH:D018805,0.998,Association,40015203
NEK7,MESH:D009202,1.0,Association,40015203
GLRX2,MESH:D050197,1.0,Association,40025257
ABCA4,MESH:D058499,1.0,Association,40127654
Mir200b,MESH:D055371,0.99,Association,40127710
Mir200a,MESH:D055371,0.957,Association,40127710
SERBP1,MESH:D009369,1.0,Association,40153110
SERBP1,MESH:D005909,1.0,Association,40153110
Dnm3,MESH:D059348,0.981,Association,40163256
RAD54L,MESH:D010051,0.996,Association,40166687
Rxfp4,MESH:D003248,0.999,Association,40194608
SPRR3,MESH:D004485,0.998,Association,21490620
LCE1D,MESH:D004485,0.977,Association,21490620
FLG2,MESH:D004485,0.998,Association,21490620
S100A3,MESH:D004485,0.97,Association,21490620
ZNF697,MESH:D009103,0.996,Association,27001119
RALGPS2,MESH:D014523,0.999,Association,29208460
RALGPS2,MESH:D001749,1.0,Association,"29208460,34944949"
MIR4421,MESH:D011225,0.909,Association,29630094
ALPL,MESH:D005909,0.875,Association,31137733
NBPF8,MESH:D008313,1.0,Association,31256822
NBPF9,MESH:D008313,1.0,Association,31256822
BNIPL,MESH:D009369,1.0,Association,31485655
BNIPL,MESH:D015179,0.998,Association,31485655
CYP4Z2P,MESH:D009369,0.994,Association,31655919
